Mice,Group,Baseline,Final
9883M2,HFD,27.8,44.4
9883M3,HFD,29.9,41.2
9883M5,HFD,29.0,40.5
9883M4,HFD,27.8,41.9
9884M2,HFD,28.0,40.9
9884M3,HFD,27.8,30.9
9884M4,HFD,30.3,33.6
9884M5,HFD,25.7,28.9
C1M1,HFD,33.0,41.0
C1M2,HFD,33.4,39.9
C1M3,HFD,42.0,50.5
C1M4,HFD,32.5,34.2
569M4,HFD,24.5,47.3
C1M5,HFD,33.0,42.0
157M1,HFD,29.9,32.0
9883M1,HFD,28.1,41.0
9884M1,HFD,29.5,36.2
157M2,HFD,28.5,33.3
157M3,HFD,32.8,36.5
157M4,HFD,28.3,34.0
157M5,HFD,30.1,35.8
569M1,HFD,26.0,30.0
570M1,HFD,26.7,38.4
569M2,HFD,29.9,34.5
570M2,HFD,26.0,34.7
569M3,HFD,32.2,39.2
570M3,HFD,26.0,39.0
570M4,HFD,30.4,41.6
BM1M1,HFD,27.7,41.4
BM1M2,HFD,28.3,40.0
BM1M3,HFD,22.6,39.5
BM3M1,HFD,20.0,30.2
BM3M4,HFD,21.5,40.3
BM3M2,HFD,21.5,41.0
BM3M3,HFD,22.0,42.0
BM5M1,HFD,23.5,42.6
BM5M2,HFD,22.5,38.0
BM5M4,HFD,24.5,40.1
BM5M3,HFD,22.5,47.8
